127.0.0.1 - - [10/Nov/2017:08:33:56 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:33:58 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:33:58 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:33:58 +0530] "GET /JSHOW/images/techLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:33:58 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:33:58 +0530] "GET /JSHOW/laptops/hp/hp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:33:58 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:33:58 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 5539
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:33:58 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:34:05 +0530] "GET /JSHOW/laptops/apple/apple2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:34:06 +0530] "GET /JSHOW/images/invalid.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:34:15 +0530] "POST /JSHOW/jsp/userDetails.jsp HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:35:21 +0530] "GET /JSHOW/laptops/dell/dell2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:35:23 +0530] "GET /JSHOW/laptops/hp/hp2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:35:25 +0530] "GET /JSHOW/laptops/dell/dell3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:35:31 +0530] "GET /JSHOW/laptops/apple/apple3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:36:18 +0530] "GET /JSHOW/laptops/hp/hp3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:03 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:03 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 5539
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:26 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:26 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 5539
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:26 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:26 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:26 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:26 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:26 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:26 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:27 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:27 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:27 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:27 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:27 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:28 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:33 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:34 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:34 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:35 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:37 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:37 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:37 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:50 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:50 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 5541
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:50 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:50 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:51 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:51 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:51 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:51 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:51 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:38:51 +0530] "GET /JSHOW/laptops/apple/apple4.jpg HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:20 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:20 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 5539
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:21 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:21 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:21 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:21 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:21 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:21 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:21 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:21 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:42 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:42 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 5539
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:42 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:39:42 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:40:50 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:40:50 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 5539
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:40:51 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:40:51 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:40:51 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:40:51 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:40:51 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:40:51 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:42:04 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:42:04 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 5539
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:42:04 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:42:04 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:42:04 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:42:04 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:42:04 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:42:31 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:42:31 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:43:21 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:43:21 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 5572
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:43:21 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:43:22 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:43:22 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2017:08:43:22 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
